tenure_months,monthly_charges,total_charges,support_tickets,late_payments,contract_type,internet_service,paperless_billing,churn
7,20.0,98.61,0,0,Month-to-month,None,Yes,0
56,35.55,1890.84,1,0,One year,DSL,No,0
48,24.73,1116.54,0,0,Month-to-month,DSL,No,1
32,20.0,704.36,0,0,Two year,Fiber,Yes,0
32,40.12,1260.68,4,0,Month-to-month,None,Yes,0
62,103.12,6218.33,0,0,Month-to-month,None,Yes,0
7,68.89,584.72,1,0,One year,Fiber,No,0
51,102.26,5257.14,1,0,One year,DSL,Yes,0
15,80.27,1065.81,1,1,Two year,DSL,No,1
7,89.56,590.41,4,1,Month-to-month,DSL,No,1
38,47.48,1724.94,0,0,Month-to-month,Fiber,Yes,0
71,83.1,5967.7,2,0,One year,Fiber,No,0
53,88.22,4638.38,2,0,Month-to-month,DSL,No,1
55,55.58,3049.83,2,0,Two year,Fiber,No,0
52,83.99,4348.48,1,1,Month-to-month,Fiber,Yes,1
57,84.15,4648.8,2,0,Month-to-month,Fiber,No,0
37,56.26,2222.2,2,1,One year,Fiber,Yes,0
10,41.93,485.54,4,0,One year,DSL,No,0
61,40.4,2389.47,2,0,Two year,Fiber,Yes,0
33,72.16,2400.55,1,1,Two year,Fiber,Yes,0
37,78.18,2989.9,1,2,Month-to-month,DSL,No,1
27,50.19,1360.62,2,1,One year,DSL,Yes,0
14,70.66,1144.98,3,0,Two year,None,Yes,0
67,84.26,5937.43,1,0,Month-to-month,Fiber,No,0
57,85.45,4858.31,2,1,Month-to-month,DSL,Yes,1
47,108.8,5055.21,1,0,Two year,Fiber,No,0
29,101.92,2856.87,1,1,Month-to-month,Fiber,No,1
60,44.97,2476.71,1,2,Two year,DSL,Yes,0
40,112.09,4608.4,0,2,Month-to-month,DSL,Yes,0
32,56.73,1779.87,0,4,Two year,None,No,0
33,96.12,3259.56,0,1,One year,Fiber,No,0
17,71.7,1326.54,2,1,One year,DSL,Yes,1
7,59.7,309.78,1,1,One year,Fiber,No,0
40,24.81,899.22,3,1,Month-to-month,Fiber,Yes,0
64,65.71,4379.97,2,0,One year,Fiber,Yes,1
5,31.02,148.07,3,2,Two year,DSL,No,0
62,94.18,5773.29,0,0,Two year,DSL,Yes,0
60,107.92,6370.67,2,1,Two year,DSL,Yes,1
20,50.08,987.4,2,1,One year,None,Yes,0
46,77.55,3718.06,1,0,One year,Fiber,No,0
12,51.87,690.93,0,0,One year,Fiber,Yes,0
55,54.29,3004.01,0,3,One year,DSL,Yes,0
51,89.36,4716.33,3,1,One year,Fiber,Yes,1
26,69.04,1934.53,4,2,Month-to-month,Fiber,Yes,1
5,113.49,600.87,2,1,Month-to-month,Fiber,No,1
70,57.94,4333.71,1,0,One year,Fiber,Yes,0
